sklearn Coefficients
==================================================
Bias Term      : 0.016498
V894           : 0.008061
V895           : 0.027675
V896           : 0.005661
V897           : -0.004464
V898           : 0.024624
V899           : 0.013506
V900           : -0.005439
V901           : 0.011439
V902           : 0.007506
V903           : 0.062538
V904           : 0.015666
V905           : -0.017750
V906           : 0.007980
V907           : 0.008081
V908           : -0.012104
V909           : 0.019907
V910           : -0.039711
V911           : -0.024719
V912           : 0.003130
V913           : 0.012959
V914           : 0.009090
V915           : -0.009322
V916           : -0.002910
V917           : 0.002365
V918           : 0.002540
V919           : -0.024269
V920           : 0.030314
V921           : -0.015148
V922           : 0.009138
V923           : -0.028501
V924           : 0.002426
V925           : 0.010281
V926           : 0.018376
V927           : 0.022802
V928           : 0.012159
V929           : 0.011397
V930           : -0.004514
V931           : 0.022945
V932           : 0.014231
V933           : -0.003316
V934           : -0.019095
V935           : -0.004441
V936           : 0.037677
V937           : 0.016754
V938           : 0.010100
V939           : -0.005823
V940           : -0.001066
V941           : 0.031821
V942           : 0.002882
V943           : 0.004126
V944           : 0.024052
V945           : -0.023758
V946           : -0.008325
V947           : 0.010061
V948           : -0.013777
V949           : 0.018985
V950           : 0.004090
V951           : -0.011118
V952           : -0.002715
V953           : -0.012417
V954           : -0.001743
V955           : -0.007343
V956           : 0.008118
V957           : -0.008241
V958           : 0.000659
V959           : -0.019334
V960           : -0.002571
V961           : -0.007341
V962           : -0.033192
V963           : 0.025091
V964           : -0.014338
V965           : -0.013975
V966           : -0.013992
V967           : 0.015861
V968           : -0.006217
V969           : -0.008254
V970           : -0.013647
V971           : 0.027095
V972           : -0.002781
V973           : -0.013606
V974           : 0.009477
V975           : 0.002099
V976           : -0.008099
V977           : -0.032716
V978           : -0.007173
V979           : 0.014099
V980           : 0.025535
V981           : 0.008745
V982           : -0.000939
V983           : -0.018343
V984           : -0.015611
V985           : 0.010891
V986           : -0.005896
V987           : 0.043374
V988           : -0.001877
V989           : -0.006203
V990           : 0.005431
V991           : 0.038623
V992           : -0.001242
V993           : -0.000938
V994           : 0.026028
V995           : 0.009095
V996           : -0.013070
V997           : 0.032195
V998           : 0.027102
V999           : 0.012080
V1000          : 0.013789
